date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
15:42:22	17986/17986	---M-Z	200	added ('OK')	text/html	date:Mon,%2002%20Oct%202017%2022:42:21%20GMT	https://www.kkiosk.ch/de/jobs/index.php	C:/Users/Raoul/OneDrive/HSLU/ICE%20Campus%20Experience/Valora/sample/Pick%20up/www.kkiosk.ch/de/jobs/index-2.html	(from https://www.kkiosk.ch/de/jobs/)
15:42:26	206531/206531	---M-Z	200	added ('OK')	application/x-javascript	etag:%22d5fe9d22fcfb8fa95b8eb7d6c02cdfc2%22	http://connect.facebook.net/de_DE/sdk.js	C:/Users/Raoul/OneDrive/HSLU/ICE%20Campus%20Experience/Valora/sample/Pick%20up/connect.facebook.net/de_DE/sdk.js	(from https://www.kkiosk.ch/de/jobs/)
15:42:26	197600/197600	---M--	200	added ('OK')	image/jpeg	etag:%22303e0-538c4c21d5140%22	https://www.kkiosk.ch/media/jobs/mitarbeiterportraet.jpg	C:/Users/Raoul/OneDrive/HSLU/ICE%20Campus%20Experience/Valora/sample/Pick%20up/www.kkiosk.ch/media/jobs/mitarbeiterportraet.jpg	(from https://www.kkiosk.ch/de/jobs/)
15:42:27	16074/16074	---M-Z	200	added ('OK')	text/html	date:Mon,%2002%20Oct%202017%2022:42:26%20GMT	https://www.kkiosk.ch/de/agenturpartner/index.php	C:/Users/Raoul/OneDrive/HSLU/ICE%20Campus%20Experience/Valora/sample/Pick%20up/www.kkiosk.ch/de/agenturpartner/index-2.html	(from https://www.kkiosk.ch/de/agenturpartner/)
15:42:27	631980/631980	---M--	200	added ('OK')	image/jpeg	etag:%229a4ac-539cc5869e5c0%22	https://www.kkiosk.ch/media/jobs/jobs.jpg	C:/Users/Raoul/OneDrive/HSLU/ICE%20Campus%20Experience/Valora/sample/Pick%20up/www.kkiosk.ch/media/jobs/jobs.jpg	(from https://www.kkiosk.ch/de/jobs/)
15:42:28	944870/944870	---M--	200	added ('OK')	image/jpeg	etag:%22e6ae6-54e261777bc40%22	https://www.kkiosk.ch/media/engagement/kolumbien_aurora.jpg	C:/Users/Raoul/OneDrive/HSLU/ICE%20Campus%20Experience/Valora/sample/Pick%20up/www.kkiosk.ch/media/engagement/kolumbien_aurora.jpg	(from https://www.kkiosk.ch/de/engagement/)
15:42:28	20284/20284	---M-Z	200	added ('OK')	text/html	date:Mon,%2002%20Oct%202017%2022:42:27%20GMT	https://www.kkiosk.ch/de/ueberuns/index.php	C:/Users/Raoul/OneDrive/HSLU/ICE%20Campus%20Experience/Valora/sample/Pick%20up/www.kkiosk.ch/de/ueberuns/index-2.html	(from https://www.kkiosk.ch/de/ueberuns/)
15:42:29	177645/177645	---M--	200	added ('OK')	image/jpeg	etag:%222b5ed-547ffe8b59480%22	https://www.kkiosk.ch/media/agenturpartner/header.jpg	C:/Users/Raoul/OneDrive/HSLU/ICE%20Campus%20Experience/Valora/sample/Pick%20up/www.kkiosk.ch/media/agenturpartner/header.jpg	(from https://www.kkiosk.ch/de/agenturpartner/)
15:42:31	113123/113123	---M--	200	added ('OK')	image/jpeg	etag:%221b9e3-5370a63e97c40%22	https://www.kkiosk.ch/media/ueberuns/storefinder.jpg	C:/Users/Raoul/OneDrive/HSLU/ICE%20Campus%20Experience/Valora/sample/Pick%20up/www.kkiosk.ch/media/ueberuns/storefinder.jpg	(from https://www.kkiosk.ch/de/ueberuns/)
15:42:31	166885/166885	---M--	200	added ('OK')	image/jpeg	etag:%2228be5-5370a63ac7340%22	https://www.kkiosk.ch/media/ueberuns/gottardo_2016.jpg	C:/Users/Raoul/OneDrive/HSLU/ICE%20Campus%20Experience/Valora/sample/Pick%20up/www.kkiosk.ch/media/ueberuns/gottardo_2016.jpg	(from https://www.kkiosk.ch/de/ueberuns/)
15:42:32	12805/12805	---M-Z	200	added ('OK')	text/html	date:Mon,%2002%20Oct%202017%2022:42:31%20GMT	https://www.kkiosk.ch/de/allover/standortsuche/index.php	C:/Users/Raoul/OneDrive/HSLU/ICE%20Campus%20Experience/Valora/sample/Pick%20up/www.kkiosk.ch/de/allover/standortsuche/index-2.html	(from https://www.kkiosk.ch/de/allover/standortsuche/)
15:42:32	100818/100818	---M--	200	added ('OK')	image/jpeg	etag:%22189d2-5370a63caf7c0%22	https://www.kkiosk.ch/media/ueberuns/sara_machts.jpg	C:/Users/Raoul/OneDrive/HSLU/ICE%20Campus%20Experience/Valora/sample/Pick%20up/www.kkiosk.ch/media/ueberuns/sara_machts.jpg	(from https://www.kkiosk.ch/de/ueberuns/)
15:42:32	427366/427366	---M--	200	added ('OK')	image/jpeg	etag:%2268566-5370872922640%22	https://www.kkiosk.ch/media/ueberuns/header.jpg	C:/Users/Raoul/OneDrive/HSLU/ICE%20Campus%20Experience/Valora/sample/Pick%20up/www.kkiosk.ch/media/ueberuns/header.jpg	(from https://www.kkiosk.ch/de/ueberuns/)
15:42:32	12889/12889	---M-Z	200	added ('OK')	text/css	etag:%22pub1475071670;gz%22	https://www.kkiosk.ch/layout/css/storefinder.css	C:/Users/Raoul/OneDrive/HSLU/ICE%20Campus%20Experience/Valora/sample/Pick%20up/www.kkiosk.ch/layout/css/storefinder.css	(from https://www.kkiosk.ch/de/allover/standortsuche/)
15:42:32	15963/15963	---M-Z	200	added ('OK')	text/html	date:Mon,%2002%20Oct%202017%2022:42:32%20GMT	https://www.kkiosk.ch/de/kontakt/index.php	C:/Users/Raoul/OneDrive/HSLU/ICE%20Campus%20Experience/Valora/sample/Pick%20up/www.kkiosk.ch/de/kontakt/index-2.html	(from https://www.kkiosk.ch/de/kontakt/)
15:42:33	26127/26127	---M-Z	200	added ('OK')	text/html	date:Mon,%2002%20Oct%202017%2022:42:32%20GMT	https://www.kkiosk.ch/de/app/faq/index.php	C:/Users/Raoul/OneDrive/HSLU/ICE%20Campus%20Experience/Valora/sample/Pick%20up/www.kkiosk.ch/de/app/faq/index-2.html	(from https://www.kkiosk.ch/de/app/faq/)
15:42:33	1026/1026	---M-Z	200	added ('OK')	text/css	etag:%22pub1472546360;gz%22	https://www.kkiosk.ch/layout/css/jQueryUI-Core.css	C:/Users/Raoul/OneDrive/HSLU/ICE%20Campus%20Experience/Valora/sample/Pick%20up/www.kkiosk.ch/layout/css/jQueryUI-Core.css	(from https://www.kkiosk.ch/de/app/faq/)
15:42:33	19584/19584	---M-Z	200	added ('OK')	application/x-javascript	etag:%22pub1472546360;gz%22	https://www.kkiosk.ch/layout/js/jQueryUI-Core.js	C:/Users/Raoul/OneDrive/HSLU/ICE%20Campus%20Experience/Valora/sample/Pick%20up/www.kkiosk.ch/layout/js/jQueryUI-Core.js	(from https://www.kkiosk.ch/de/app/faq/)
15:42:33	753/753	---M-Z	200	added ('OK')	text/css	etag:%22pub1472546360;gz%22	https://www.kkiosk.ch/layout/css/jQueryUI-Accordion.css	C:/Users/Raoul/OneDrive/HSLU/ICE%20Campus%20Experience/Valora/sample/Pick%20up/www.kkiosk.ch/layout/css/jQueryUI-Accordion.css	(from https://www.kkiosk.ch/de/app/faq/)
15:42:34	8965/8965	---M-Z	200	added ('OK')	application/x-javascript	etag:%22pub1482928182;gz%22	https://www.kkiosk.ch/layout/js/jQueryUI-Accordion.js	C:/Users/Raoul/OneDrive/HSLU/ICE%20Campus%20Experience/Valora/sample/Pick%20up/www.kkiosk.ch/layout/js/jQueryUI-Accordion.js	(from https://www.kkiosk.ch/de/app/faq/)
15:42:34	16930/16930	---M-Z	200	added ('OK')	text/html	date:Mon,%2002%20Oct%202017%2022:42:33%20GMT	https://www.kkiosk.ch/de/ueberuns/marke/index.php	C:/Users/Raoul/OneDrive/HSLU/ICE%20Campus%20Experience/Valora/sample/Pick%20up/www.kkiosk.ch/de/ueberuns/marke/index-2.html	(from https://www.kkiosk.ch/de/ueberuns/marke/)
